Grid ID,X-Permutation,O-Permutation,Knot Type,tb,r,Legendrian Mirror,Orientation Reversal,Legendrian Mirror of Orientation Reversal
G562,"(0, 7, 8, 5, 6, 4, 3, 1, 9, 2)","(3, 1, 2, 9, 0, 7, 5, 8, 4, 6)",12n293,-13,-2,--,--,G562
G563,"(0, 7, 4, 5, 3, 9, 2, 8, 1, 6)","(3, 1, 9, 0, 8, 6, 7, 4, 5, 2)",12n293,-13,0,G564,G563,G564
G564,"(0, 8, 6, 4, 2, 3, 9, 1, 7, 5)","(3, 1, 9, 0, 7, 8, 5, 6, 4, 2)",12n293,-13,0,G563,G564,G563
G565,"(0, 1, 8, 9, 6, 7, 5, 3, 4, 2)","(5, 7, 3, 4, 0, 2, 9, 6, 1, 8)",12n293,-13,0,G565,G565,G565
G566,"(0, 1, 8, 9, 6, 7, 5, 3, 4, 2)","(5, 7, 2, 3, 0, 4, 1, 8, 9, 6)",12n293,-13,0,G567,G566,G567
G567,"(0, 1, 8, 9, 6, 7, 5, 3, 4, 2)","(5, 7, 3, 4, 0, 2, 8, 9, 1, 6)",12n293,-13,0,G566,G567,G566
G568,"(0, 3, 1, 9, 8, 6, 7, 4, 5, 2)","(6, 8, 4, 7, 5, 2, 3, 0, 1, 9)",12n293,-13,2,--,--,G568
G569,"(0, 8, 6, 4, 5, 2, 3, 1, 9, 7)","(5, 2, 3, 9, 1, 7, 0, 8, 6, 4)",12n293,-13,2,--,--,G569
G1557,"(0, 7, 1, 9, 2, 4, 3, 6, 5, 8)","(4, 2, 5, 3, 6, 8, 7, 0, 9, 1)",m12n293,3,0,?,?,G1557
G570,"(0, 6, 8, 9, 7, 1, 3, 5, 2, 4)","(5, 1, 2, 3, 0, 4, 8, 9, 6, 7)",12n309,-6,-1,--,--,G570
G571,"(0, 2, 9, 1, 3, 7, 5, 6, 8, 4)","(7, 8, 5, 6, 0, 4, 1, 2, 3, 9)",12n309,-6,1,--,--,G571
G1558,"(0, 3, 1, 9, 5, 7, 6, 4, 8, 2)","(4, 7, 6, 2, 8, 1, 0, 9, 3, 5)",m12n309,-4,-1,--,--,G1558
G1559,"(0, 4, 8, 6, 5, 7, 3, 1, 9, 2)","(7, 9, 3, 2, 1, 4, 0, 6, 5, 8)",m12n309,-4,1,--,--,G1559
G572,"(0, 3, 9, 1, 8, 2, 5, 6, 4, 7)","(5, 6, 2, 4, 3, 7, 9, 0, 8, 1)",12n318,-2,-1,--,--,G573
G573,"(0, 3, 5, 1, 8, 6, 7, 9, 4, 2)","(7, 9, 2, 4, 3, 0, 1, 5, 8, 6)",12n318,-2,-1,--,--,G572
G574,"(0, 8, 3, 5, 6, 4, 1, 7, 9, 2)","(6, 4, 7, 1, 2, 9, 8, 0, 3, 5)",12n318,-2,1,--,--,G575
G575,"(0, 3, 1, 2, 5, 9, 6, 8, 4, 7)","(6, 9, 7, 8, 0, 4, 3, 5, 1, 2)",12n318,-2,1,--,--,G574
G1560,"(0, 8, 7, 9, 2, 6, 3, 5, 1, 4)","(5, 2, 1, 3, 4, 0, 7, 8, 6, 9)",m12n318,-8,-1,--,--,G1561
G1561,"(0, 2, 5, 3, 1, 8, 7, 9, 6, 4)","(7, 9, 0, 6, 4, 2, 3, 5, 1, 8)",m12n318,-8,-1,--,--,G1560
G1562,"(0, 3, 9, 1, 8, 2, 5, 7, 6, 4)","(5, 8, 6, 7, 4, 0, 1, 3, 2, 9)",m12n318,-8,1,--,--,G1563
G1563,"(0, 8, 5, 7, 6, 3, 1, 9, 2, 4)","(6, 3, 9, 1, 2, 0, 8, 4, 5, 7)",m12n318,-8,1,--,--,G1562
G576,"(0, 9, 6, 7, 5, 3, 4, 1, 2, 8)","(4, 1, 0, 2, 8, 6, 9, 7, 5, 3)",12n321,-13,-2,--,--,G576
G577,"(0, 6, 8, 5, 7, 3, 4, 1, 2, 9)","(4, 1, 2, 9, 0, 8, 6, 5, 7, 3)",12n321,-13,-2,--,--,G577
